,loss
97,0.23499688506126404
98,0.2804802656173706
99,0.26892703771591187
100,0.2426072508096695
101,0.2536364793777466
102,0.2748994827270508
103,0.2650231719017029
104,0.276395708322525
105,0.24315379559993744
106,0.2491525560617447
107,0.23094886541366577
108,0.2882194221019745
109,0.275847852230072
110,0.23077642917633057
111,0.2568782567977905
112,0.24452319741249084
113,0.2396184802055359
114,0.24196740984916687
115,0.22469714283943176
116,0.25066861510276794
117,0.24310337007045746
118,0.23928572237491608
119,0.236343115568161
120,0.280350923538208
121,0.27504628896713257
122,0.24794432520866394
123,0.2507811188697815
124,0.22271372377872467
125,0.2564765214920044
126,0.26171380281448364
127,0.2446127086877823
128,0.23920103907585144
129,0.2616424858570099
130,0.2591068744659424
131,0.2414287030696869
132,0.26654505729675293
133,0.2529383897781372
134,0.24722595512866974
135,0.22509440779685974
136,0.2496817708015442
137,0.25912487506866455
138,0.2675289213657379
139,0.25239813327789307
140,0.25696176290512085
141,0.27561154961586
142,0.26875418424606323
143,0.26451772451400757
144,0.2521144151687622
145,0.22472484409809113
146,0.23562383651733398
147,0.22839859127998352
148,0.26139336824417114
149,0.27035969495773315
150,0.26014119386672974
151,0.278228759765625
152,0.19792227447032928
153,0.24376803636550903
154,0.25865259766578674
155,0.24544605612754822
156,0.24705049395561218
157,0.26394250988960266
158,0.2694317698478699
159,0.23066286742687225
160,0.2292899340391159
161,0.26285648345947266
162,0.2590219974517822
163,0.26836860179901123
164,0.24349345266819
165,0.24944496154785156
166,0.22553449869155884
167,0.26427990198135376
168,0.2835553288459778
169,0.2353241741657257
170,0.2095872014760971
171,0.20840731263160706
172,0.25496402382850647
173,0.236283540725708
174,0.2742387056350708
175,0.20682865381240845
176,0.22057542204856873
177,0.25435152649879456
178,0.2507433593273163
179,0.24691487848758698
180,0.2524760961532593
181,0.23502188920974731
182,0.22198662161827087
183,0.26182547211647034
184,0.24500614404678345
185,0.23251789808273315
186,0.29706457257270813
187,0.24993059039115906
188,0.22274568676948547
189,0.23451045155525208
190,0.23784035444259644
191,0.2313208281993866
192,0.2553974986076355
193,0.19243891537189484
194,0.24320578575134277
195,0.24179083108901978
196,0.23891909420490265
197,0.25933873653411865
198,0.26431065797805786
199,0.24332782626152039
200,0.2175169587135315
201,0.23192337155342102
202,0.23330149054527283
203,0.25113874673843384
204,0.2856556177139282
205,0.23999576270580292
206,0.24403557181358337
207,0.21633842587471008
208,0.217554971575737
209,0.24209940433502197
210,0.2082819640636444
211,0.257648229598999
212,0.24182575941085815
213,0.2723236680030823
214,0.24851159751415253
215,0.2477962076663971
216,0.2337888479232788
217,0.25123727321624756
218,0.2814861238002777
219,0.24733653664588928
220,0.21996034681797028
221,0.23907431960105896
222,0.24343596398830414
223,0.22614382207393646
224,0.2616819739341736
225,0.2590678334236145
226,0.2286454439163208
227,0.2706722617149353
228,0.28346699476242065
229,0.2794877588748932
230,0.2868325710296631
231,0.2843172550201416
232,0.26374462246894836
233,0.29048120975494385
234,0.24630150198936462
235,0.3056759536266327
236,0.2530458867549896
237,0.2123519331216812
238,0.26645055413246155
239,0.27400457859039307
240,0.2358410805463791
241,0.27112942934036255
242,0.2515116333961487
243,0.24210864305496216
244,0.29817306995391846
245,0.2608027160167694
246,0.25580886006355286
247,0.24159760773181915
248,0.27594760060310364
249,0.31056973338127136
250,0.33253753185272217
251,0.30857783555984497
252,0.27340951561927795
253,0.2926008701324463
254,0.27509480714797974
255,0.31005409359931946
256,0.25213220715522766
257,0.29701632261276245
258,0.26460233330726624
259,0.2766423523426056
260,0.2426520735025406
261,0.2423725724220276
262,0.3302103281021118
263,0.2853570580482483
264,0.28443431854248047
265,0.23890230059623718
266,0.2659628689289093
267,0.21967670321464539
268,0.26205140352249146
269,0.2505252957344055
270,0.23802544176578522
271,0.2456972599029541
272,0.2602000832557678
273,0.3347398340702057
274,0.264690101146698
275,0.23744791746139526
276,0.2683708667755127
277,0.23194308578968048
278,0.25513410568237305
279,0.270537793636322
280,0.2268466055393219
281,0.24827183783054352
282,0.21156707406044006
283,0.28010067343711853
284,0.2478635013103485
285,0.2676355242729187
286,0.2617872953414917
287,0.274987131357193
288,0.26099908351898193
289,0.2749811112880707
290,0.32577407360076904
291,0.24635089933872223
292,0.23653778433799744
293,0.23769992589950562
294,0.22585606575012207
295,0.28162285685539246
296,0.21996843814849854
297,0.23921817541122437
298,0.39448779821395874
299,0.24215617775917053
300,0.2863776683807373
301,0.2942644953727722
302,0.2794453501701355
303,0.29060184955596924
304,0.26284515857696533
305,0.2498186230659485
306,0.2527675926685333
307,0.3712111711502075
308,0.30912065505981445
309,0.27739837765693665
310,0.3028430938720703
311,0.24850225448608398
312,0.3077770173549652
313,0.28579115867614746
314,0.28473371267318726
315,0.26261138916015625
316,0.25768184661865234
317,0.29479196667671204
318,0.24591097235679626
319,0.22551745176315308
320,0.2500843405723572
321,0.24008499085903168
322,0.4719664752483368
323,0.2775403559207916
324,0.25106221437454224
325,0.28496915102005005
326,0.22491028904914856
327,0.24182729423046112
328,0.23898611962795258
329,0.24990439414978027
330,0.20793743431568146
331,0.2688817083835602
332,0.2894791066646576
333,0.21735413372516632
334,0.287628173828125
335,0.28698474168777466
336,0.2725938558578491
337,0.2170412689447403
338,0.21812543272972107
339,0.29455408453941345
340,0.24845826625823975
341,0.2901672124862671
342,0.2648214101791382
343,0.2104550004005432
344,0.24799463152885437
345,0.23385144770145416
346,0.2574979066848755
347,0.3630850911140442
348,0.3360340893268585
349,0.25577861070632935
350,0.31871122121810913
351,0.2950811982154846
352,0.2548210918903351
353,0.3222760558128357
354,0.2494833767414093
355,0.29813602566719055
356,0.27671554684638977
357,0.24199819564819336
358,0.26661282777786255
359,0.27866044640541077
360,0.260509192943573
361,0.2804746627807617
362,0.2998323440551758
363,0.2796144485473633
364,0.3091248869895935
365,0.2114035189151764
366,0.26179248094558716
367,0.2122441530227661
368,0.21204827725887299
369,0.3247721493244171
370,0.2420271337032318
371,0.2302391529083252
372,0.24915888905525208
373,0.262861430644989
374,0.27878373861312866
375,0.24327591061592102
376,0.2818912863731384
377,0.23810048401355743
378,0.2357712686061859
379,0.27264177799224854
380,0.22677136957645416
381,0.28740745782852173
382,0.2994845509529114
383,0.25913459062576294
384,0.2350798398256302
385,0.2646876275539398
386,0.28143566846847534
387,0.26441052556037903
388,0.32908815145492554
389,0.25458842515945435
390,0.2984378933906555
391,0.24641980230808258
392,0.27346548438072205
393,0.28329238295555115
394,0.2755236029624939
395,0.282575398683548
396,0.2297988086938858
397,0.25156170129776
398,0.2079411745071411
399,0.2824380695819855
400,0.27399736642837524
401,0.24035228788852692
402,0.24714024364948273
403,0.25238102674484253
404,0.2693597674369812
405,0.24871768057346344
406,0.3193155527114868
407,0.31723880767822266
408,0.3055398762226105
409,0.2585296928882599
410,0.24212631583213806
411,0.2519085109233856
412,0.213145911693573
413,0.25379660725593567
414,0.2986927032470703
415,0.22453367710113525
416,0.37517839670181274
417,0.3139312267303467
418,0.28611159324645996
419,0.21536403894424438
420,0.26295021176338196
421,0.24576619267463684
422,0.2945358455181122
423,0.25325924158096313
424,0.2468804121017456
425,0.2493727207183838
426,0.20253539085388184
427,0.37431371212005615
428,0.2762407660484314
429,0.2598443627357483
430,0.30847156047821045
431,0.25596362352371216
432,0.2663494646549225
433,0.23004800081253052
434,0.21543024480342865
435,0.28270578384399414
436,0.22100603580474854
437,0.2039773166179657
438,0.25479406118392944
439,0.28188997507095337
440,0.2918504476547241
441,0.2834170460700989
442,0.28120073676109314
443,0.3240249752998352
444,0.2699112296104431
445,0.22306863963603973
446,0.2441169172525406
447,0.32976004481315613
448,0.33966922760009766
449,0.30256956815719604
450,0.2748270630836487
451,0.34110215306282043
452,0.2903810739517212
453,0.32269978523254395
454,0.2778659164905548
455,0.27892908453941345
456,0.339033305644989
457,0.30981236696243286
458,0.3458852767944336
459,0.2938496470451355
460,0.2708452045917511
461,0.2574605941772461
462,0.23672978579998016
463,0.26264533400535583
464,0.2730824947357178
465,0.25520822405815125
466,0.24040310084819794
467,0.23923489451408386
468,0.2503201961517334
469,0.288261741399765
470,0.2513453960418701
471,0.33741188049316406
472,0.2853615880012512
473,0.3030160665512085
474,0.25828081369400024
475,0.2661778926849365
476,0.3059964179992676
477,0.25862863659858704
478,0.2856740653514862
479,0.3067448139190674
480,0.2592056095600128
481,0.27372103929519653
482,0.3062750995159149
483,0.32483768463134766
484,0.31006717681884766
485,0.30643990635871887
486,0.28141719102859497
487,0.27316832542419434
488,0.327480673789978
489,0.344001829624176
490,0.29310446977615356
